epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2751,1.44694,4.26788,1.43215,0.002,0.5,0.16634,0.05021,1.04118,4.58066,1.39853,2e-05,2e-05,2e-05
2,21.7806,1.48094,4.26041,1.3835,0.002,0.5,0.16674,0.06718,1.1935,4.32257,1.27118,5.8812e-05,5.8812e-05,5.8812e-05
3,30.7631,1.49408,4.15708,1.42988,0.00267,0.66667,0.21608,0.09473,0.88817,4.09226,1.09894,9.604e-05,9.604e-05,9.604e-05
4,39.277,1.48133,3.91594,1.27466,0.00333,0.83333,0.40667,0.27867,0.86437,3.96364,0.99963,0.000131684,0.000131684,0.000131684
5,48.9684,1.31291,3.31666,1.12484,0.00333,0.83333,0.49791,0.36557,0.97601,3.84524,0.92978,0.000165744,0.000165744,0.000165744
6,58.1799,1.46628,3.1698,1.12965,0.004,1,0.77226,0.3915,1.19665,3.80241,0.93371,0.00019822,0.00019822,0.00019822
7,66.925,1.42693,2.35677,1.06408,0.004,1,0.83602,0.38145,1.10515,3.60164,0.93341,0.000229112,0.000229112,0.000229112
8,77.6688,1.25109,2.39267,1.07539,0.004,1,0.48992,0.31993,0.92824,3.62052,0.91531,0.00025842,0.00025842,0.00025842
9,87.489,1.24885,2.63817,1.09802,0.004,1,0.48982,0.28857,1.01485,3.65984,0.94085,0.000286144,0.000286144,0.000286144
10,98.8686,1.25363,2.21139,1.13272,0.004,1,0.52759,0.32199,1.01314,3.61743,0.94256,0.000312284,0.000312284,0.000312284
11,108.405,1.2632,2.11909,1.10265,0.004,1,0.50027,0.30422,0.9882,3.58828,0.94345,0.00033684,0.00033684,0.00033684
12,116.715,1.23393,2.33831,1.07397,0.004,1,0.50085,0.36684,0.88894,3.58991,0.91542,0.000359812,0.000359812,0.000359812
13,124.91,1.08346,2.18025,1.00871,0.004,1,0.47287,0.35836,0.85717,3.55574,0.89783,0.0003812,0.0003812,0.0003812
14,132.998,1.15783,1.84352,1.01281,0.004,1,0.38928,0.28131,0.93538,3.54331,0.90959,0.000401004,0.000401004,0.000401004
15,141.299,1.25662,1.94655,1.08915,0.004,1,0.3739,0.24298,0.90342,3.51797,0.92428,0.000419224,0.000419224,0.000419224
16,149.532,1.14165,1.69395,1.07422,0.004,1,0.35772,0.23249,0.84544,3.50731,0.92656,0.00043586,0.00043586,0.00043586
17,157.669,1.14603,1.75309,1.09548,0.004,1,0.3469,0.25997,0.85667,3.42102,0.93044,0.000450912,0.000450912,0.000450912
18,165.997,0.97479,1.43561,0.98167,0.004,1,0.34919,0.26181,0.90426,3.39915,0.93047,0.00046438,0.00046438,0.00046438
19,174.261,0.95027,1.64866,1.0254,0.004,1,0.3685,0.26836,0.89602,3.41403,0.93796,0.000476264,0.000476264,0.000476264
20,182.364,1.12146,1.77943,1.04972,0.004,1,0.39854,0.30186,0.88807,3.44679,0.9264,0.000486564,0.000486564,0.000486564
21,190.673,1.12233,1.65001,1.04736,0.004,1,0.49859,0.42639,0.91727,3.43652,0.92202,0.00049528,0.00049528,0.00049528
22,198.917,1.12374,1.39031,1.02555,0.004,1,0.4986,0.41481,0.92585,3.40491,0.91913,0.000502412,0.000502412,0.000502412
23,207.181,1.33595,1.87765,1.04297,0.004,1,0.49882,0.43207,0.95968,3.39718,0.93021,0.00050796,0.00050796,0.00050796
24,215.682,0.97942,1.42827,1.00205,0.004,1,0.49887,0.41615,1.02631,3.38406,0.96975,0.000511924,0.000511924,0.000511924
25,224.274,1.06065,1.541,1.03182,0.004,1,0.49877,0.39076,1.03361,3.30428,0.982,0.000514304,0.000514304,0.000514304
26,232.644,0.90045,1.27043,0.97463,0.00487,0.5,0.49877,0.3754,1.05624,3.24414,1.00706,0.0005151,0.0005151,0.0005151
27,241.11,1.00535,1.55259,1.04221,0.08525,0.5,0.49887,0.36665,0.9967,3.24843,0.97994,0.000514312,0.000514312,0.000514312
28,249.496,0.9406,1.37956,0.99184,0.08525,0.5,0.49887,0.36665,0.9967,3.24843,0.97994,0.00051194,0.00051194,0.00051194
29,258.017,0.96987,1.36433,0.97617,0.00768,1,0.49885,0.37183,1.00425,3.17315,0.9734,0.000507984,0.000507984,0.000507984
30,266.569,1.05946,1.50554,0.98316,0.004,1,0.49894,0.35277,0.92836,3.18586,0.95306,0.000502444,0.000502444,0.000502444
31,275.073,1.04533,1.6721,1.02606,0.004,1,0.49894,0.35277,0.92836,3.18586,0.95306,0.00049532,0.00049532,0.00049532
32,283.417,0.91503,1.1902,0.93974,0.02947,0.66667,0.50647,0.38542,0.89446,3.14875,0.95226,0.000486612,0.000486612,0.000486612
33,291.665,1.01172,1.54288,1.00741,1,0.28424,0.61105,0.48065,0.8158,3.13186,0.91464,0.00047632,0.00047632,0.00047632
34,300.082,1.01916,1.34766,0.95894,1,0.28424,0.61105,0.48065,0.8158,3.13186,0.91464,0.000464444,0.000464444,0.000464444
35,308.402,0.93628,1.38777,1.02809,1,0.32659,0.69672,0.56989,0.84332,2.97577,0.90418,0.000450984,0.000450984,0.000450984
36,316.772,0.86442,1.13178,0.92213,1,0.61899,0.81532,0.68924,0.87808,2.70543,0.89895,0.00043594,0.00043594,0.00043594
37,325.031,1.00387,1.26465,0.95291,1,0.61899,0.81532,0.68924,0.87808,2.70543,0.89895,0.000419312,0.000419312,0.000419312
38,333.382,0.94819,1.26795,1.00168,1,0.69396,0.883,0.71323,0.86483,2.55093,0.90923,0.0004011,0.0004011,0.0004011
39,342.089,0.84443,1.28024,0.97569,1,0.71282,0.90357,0.75879,0.8156,2.41104,0.89871,0.000381304,0.000381304,0.000381304
40,350.362,0.85026,1.18198,0.95903,1,0.71282,0.90357,0.75879,0.8156,2.41104,0.89871,0.000359924,0.000359924,0.000359924
41,358.782,0.95157,1.65864,0.94507,1,0.66061,0.87192,0.76042,0.7197,2.41411,0.86572,0.00033696,0.00033696,0.00033696
42,367.144,0.8875,1.57304,0.85809,1,0.64001,0.89147,0.75246,0.67135,2.43985,0.85414,0.000312412,0.000312412,0.000312412
43,375.903,0.84301,1.56213,0.87434,1,0.64001,0.89147,0.75246,0.67135,2.43985,0.85414,0.00028628,0.00028628,0.00028628
44,384.051,0.79796,1.49585,0.88996,1,0.6527,0.895,0.74305,0.6445,2.45431,0.85224,0.000258564,0.000258564,0.000258564
45,392.176,0.85914,1.49737,0.88975,1,0.6527,0.895,0.74305,0.6445,2.45431,0.85224,0.000229264,0.000229264,0.000229264
46,400.303,0.83766,1.4627,0.90702,0.96754,0.83333,0.97214,0.81645,0.6155,2.36686,0.84917,0.00019838,0.00019838,0.00019838
47,408.005,0.80659,1.44149,0.92522,0.96754,0.83333,0.97214,0.81645,0.6155,2.36686,0.84917,0.000165912,0.000165912,0.000165912
48,416.125,0.78065,1.42433,0.90216,1,0.91384,0.995,0.87445,0.56954,2.24928,0.84423,0.00013186,0.00013186,0.00013186
49,424.59,0.77442,1.50707,0.90745,1,0.91384,0.995,0.87445,0.56954,2.24928,0.84423,9.6224e-05,9.6224e-05,9.6224e-05
50,432.88,0.82081,1.41243,0.92637,1,0.9472,0.995,0.90457,0.5446,2.12208,0.83942,5.9004e-05,5.9004e-05,5.9004e-05
