epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,255.907,1.9766,2.7021,1.81338,0.48827,0.48976,0.44926,0.15436,2.02973,2.38063,1.8908,0.0033276,0.0033276,0.0033276
2,495.928,1.96524,2.00056,1.78205,0.53741,0.46146,0.47332,0.1697,2.18588,2.03896,1.98659,0.00661697,0.00661697,0.00661697
3,751.834,2.04786,1.92553,1.89436,0.4967,0.47177,0.47255,0.17526,2.13115,1.91574,1.96902,0.00986234,0.00986234,0.00986234
4,992.378,2.07307,1.9191,1.92365,0.46841,0.45659,0.40933,0.13592,2.39963,2.18798,2.14157,0.009802,0.009802,0.009802
5,1236.4,2.03673,1.83057,1.91565,0.53617,0.48585,0.49969,0.1947,2.12033,1.75751,1.98977,0.009736,0.009736,0.009736
6,1474.7,2.0116,1.77903,1.88639,0.58187,0.51707,0.52926,0.20789,2.12757,1.74091,1.99711,0.00967,0.00967,0.00967
7,1720.82,2.01116,1.74311,1.89951,0.61675,0.55122,0.57292,0.22027,2.10339,1.67902,1.96693,0.009604,0.009604,0.009604
8,1958.03,1.98919,1.72207,1.86141,0.63145,0.55497,0.60678,0.22643,2.09079,1.66993,1.95404,0.009538,0.009538,0.009538
9,2199.81,1.97215,1.69996,1.86837,0.57665,0.53073,0.56345,0.2245,2.05183,1.66308,1.97951,0.009472,0.009472,0.009472
10,2433.86,1.95809,1.68535,1.8674,0.58203,0.56098,0.59093,0.24109,2.05249,1.61939,1.98334,0.009406,0.009406,0.009406
11,2674.77,1.94446,1.64375,1.85145,0.62645,0.52683,0.5802,0.23183,2.05061,1.64248,1.97755,0.00934,0.00934,0.00934
12,2911.12,1.9472,1.65124,1.86017,0.60813,0.54656,0.59244,0.23754,2.05569,1.59513,1.9482,0.009274,0.009274,0.009274
13,3153.97,1.93521,1.63024,1.84083,0.62179,0.55902,0.59131,0.23165,2.05567,1.60759,1.98989,0.009208,0.009208,0.009208
14,3390.01,1.92117,1.6123,1.83792,0.62632,0.56195,0.60306,0.24905,2.04518,1.57359,1.9682,0.009142,0.009142,0.009142
15,3632.76,1.91517,1.59377,1.84528,0.60596,0.54244,0.59132,0.24312,2.04005,1.57162,1.97216,0.009076,0.009076,0.009076
16,3865.77,1.91225,1.59661,1.84254,0.70079,0.58927,0.64203,0.25208,2.05462,1.54716,1.97331,0.00901,0.00901,0.00901
17,4106.81,1.88708,1.57319,1.83149,0.66397,0.57463,0.61772,0.24729,2.02496,1.55874,1.98935,0.008944,0.008944,0.008944
18,4343.25,1.88959,1.561,1.83802,0.72805,0.56878,0.65168,0.25804,2.06887,1.50482,1.98872,0.008878,0.008878,0.008878
19,4583.74,1.88183,1.55593,1.83318,0.65126,0.54244,0.61929,0.25483,2.01378,1.54946,1.96196,0.008812,0.008812,0.008812
20,4817.28,1.87568,1.54462,1.80511,0.68609,0.5672,0.64319,0.25749,2.02706,1.5089,1.93551,0.008746,0.008746,0.008746
21,5061.76,1.86819,1.53366,1.81096,0.67429,0.56552,0.6332,0.25321,2.03133,1.51783,1.9649,0.00868,0.00868,0.00868
22,5297.21,1.87348,1.51667,1.81028,0.66435,0.61463,0.63876,0.25358,2.0433,1.49508,1.99021,0.008614,0.008614,0.008614
