epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.32261,1.64321,4.04202,1.54312,0.002,0.5,0.16631,0.05019,1.02845,4.58133,1.39383,2e-05,2e-05,2e-05
2,3.62429,1.56688,4.32467,1.36939,0.002,0.5,0.16704,0.06729,1.08288,4.29883,1.2623,5.9604e-05,5.9604e-05,5.9604e-05
3,4.87344,1.63024,4.05569,1.29157,0.00267,0.66667,0.16841,0.10178,0.96734,4.10841,1.08599,9.868e-05,9.868e-05,9.868e-05
4,6.12419,1.72184,4.06696,1.37375,0.00333,0.83333,0.33852,0.22034,0.86819,3.86679,0.97237,0.000137228,0.000137228,0.000137228
5,7.35549,1.56101,3.43225,1.26302,0.00333,0.83333,0.49826,0.29576,0.67804,3.7166,0.89586,0.000175248,0.000175248,0.000175248
6,8.59271,1.40603,2.96648,1.14424,0.00333,0.83333,0.66661,0.40254,0.69824,3.5957,0.88592,0.00021274,0.00021274,0.00021274
7,9.8146,1.23019,2.36429,1.00829,0.00333,0.83333,0.63258,0.31353,0.74707,3.57365,0.8772,0.000249704,0.000249704,0.000249704
8,11.0537,1.28256,2.95401,1.18634,0.00333,0.83333,0.43377,0.21117,0.83363,3.63771,0.90213,0.00028614,0.00028614,0.00028614
9,12.2481,1.31884,2.3774,1.15862,0.00333,0.83333,0.55649,0.21341,0.85596,3.64695,0.92438,0.000322048,0.000322048,0.000322048
10,13.4674,1.28776,1.99506,1.12054,0.00333,0.83333,0.48198,0.2129,0.80686,3.72548,0.93025,0.000357428,0.000357428,0.000357428
11,14.6703,1.15713,1.90714,1.09503,0.00333,0.83333,0.33884,0.27936,0.73642,3.62988,0.89384,0.00039228,0.00039228,0.00039228
12,15.874,1.2322,1.89613,1.04019,0.00333,0.83333,0.34995,0.28057,0.71725,3.62099,0.90722,0.000426604,0.000426604,0.000426604
13,17.0417,1.24093,2.06198,1.09143,0.00333,0.83333,0.41758,0.28622,0.73765,3.5505,0.90703,0.0004604,0.0004604,0.0004604
14,18.2574,1.03089,1.83191,0.99556,0.00333,0.83333,0.37687,0.26866,0.70622,3.50737,0.91001,0.000493668,0.000493668,0.000493668
15,19.4529,1.23059,1.7458,1.05495,0.00333,0.83333,0.34929,0.29264,0.66921,3.5292,0.89914,0.000526408,0.000526408,0.000526408
16,20.678,1.24899,1.59294,1.04553,0.00333,0.83333,0.34204,0.30522,0.67254,3.55223,0.89141,0.00055862,0.00055862,0.00055862
17,21.8746,1.18995,1.51054,1.01271,0.00333,0.83333,0.19679,0.16725,0.77848,3.5897,0.90833,0.000590304,0.000590304,0.000590304
18,23.0877,1.27939,1.85061,1.08817,0.00333,0.83333,0.18875,0.14295,0.95105,3.63319,0.93313,0.00062146,0.00062146,0.00062146
19,24.2715,1.17361,1.77903,1.03668,0.00333,0.83333,0.32419,0.21826,0.90856,3.55032,0.92161,0.000652088,0.000652088,0.000652088
20,25.4529,1.19676,1.56246,1.09353,0.00333,0.83333,0.48362,0.39773,0.87476,3.39122,0.91921,0.000682188,0.000682188,0.000682188
21,26.6893,1.13827,1.67244,1.0358,0.00333,0.83333,0.52358,0.35986,0.80428,3.28096,0.89924,0.00071176,0.00071176,0.00071176
22,27.9523,1.24524,1.6325,1.10665,0.00333,0.83333,0.53572,0.42341,0.69952,3.23026,0.86522,0.000740804,0.000740804,0.000740804
23,29.2181,1.15313,1.68129,1.03647,0.004,1,0.51242,0.43244,0.6543,3.26538,0.8669,0.00076932,0.00076932,0.00076932
24,30.4735,1.24641,1.5305,1.02834,0.8676,0.5,0.50674,0.40976,0.70738,3.22031,0.87957,0.000797308,0.000797308,0.000797308
25,31.7049,1.13597,1.66505,1.02041,1,0.47132,0.62825,0.46186,0.79227,3.21506,0.88976,0.000824768,0.000824768,0.000824768
26,32.9267,1.14178,1.51314,1.01464,0.004,1,0.6853,0.44183,0.87184,3.34015,0.9358,0.0008517,0.0008517,0.0008517
27,34.1306,1.17689,1.42845,1.01636,0.004,1,0.60005,0.40116,0.99601,3.46766,0.98419,0.000878104,0.000878104,0.000878104
28,35.3192,1.0716,1.37912,1.03312,0.004,1,0.60005,0.40116,0.99601,3.46766,0.98419,0.00090398,0.00090398,0.00090398
29,36.5183,1.14556,1.577,1.04832,0.00581,1,0.74976,0.49939,0.9526,3.25811,0.95426,0.000929328,0.000929328,0.000929328
30,37.7522,1.18972,1.40232,0.9921,0.88257,0.66667,0.84672,0.59801,0.92015,3.17898,0.91811,0.000954148,0.000954148,0.000954148
31,38.946,1.21034,1.45432,1.0794,0.88257,0.66667,0.84672,0.59801,0.92015,3.17898,0.91811,0.00097844,0.00097844,0.00097844
32,40.2106,1.10658,1.37133,0.99659,1,0.62855,0.92667,0.69324,0.81184,2.93097,0.89631,0.0010022,0.0010022,0.0010022
33,41.4281,1.08669,1.32402,0.98128,0.96639,0.66667,0.85467,0.63115,0.80158,2.9212,0.9085,0.00102544,0.00102544,0.00102544
34,42.595,1.05163,1.35194,0.99018,0.96639,0.66667,0.85467,0.63115,0.80158,2.9212,0.9085,0.00104815,0.00104815,0.00104815
35,43.8102,1.0484,1.19542,0.98866,0.9996,0.66667,0.68652,0.53862,0.83029,3.00514,0.94719,0.00107033,0.00107033,0.00107033
36,45.029,1.12226,1.40126,1.01685,1,0.63402,0.6708,0.43672,1.01166,2.99101,0.96234,0.00109198,0.00109198,0.00109198
37,46.2334,1.14776,1.30716,1.04026,1,0.63402,0.6708,0.43672,1.01166,2.99101,0.96234,0.0011131,0.0011131,0.0011131
38,47.4302,1.01723,1.63391,1.05409,1,0.48104,0.73574,0.42357,1.23229,3.08842,1.02025,0.0011337,0.0011337,0.0011337
39,48.6457,0.99857,1.15738,0.95128,0.56073,0.5,0.59298,0.33963,1.24752,3.05004,1.00426,0.00115377,0.00115377,0.00115377
40,49.8157,1.02571,1.19636,0.96016,0.56073,0.5,0.59298,0.33963,1.24752,3.05004,1.00426,0.00117331,0.00117331,0.00117331
41,51.0145,1.09072,1.25494,1.02669,0.80568,0.33333,0.70306,0.48997,1.08569,2.80881,0.95773,0.00119232,0.00119232,0.00119232
42,52.1955,1.00306,1.15579,0.96001,0.7267,0.33333,0.73478,0.56463,0.94409,2.84987,0.96544,0.0012108,0.0012108,0.0012108
43,53.385,0.98566,1.26855,1.01934,0.7267,0.33333,0.73478,0.56463,0.94409,2.84987,0.96544,0.00122876,0.00122876,0.00122876
44,54.6031,0.96498,1.30419,0.99617,0.98081,0.33333,0.65247,0.56666,0.925,2.72704,0.96974,0.00124619,0.00124619,0.00124619
45,55.7992,0.9067,1.24101,0.92668,0.98081,0.33333,0.65247,0.56666,0.925,2.72704,0.96974,0.00126309,0.00126309,0.00126309
46,57.0101,0.91102,1.21581,0.98531,1,0.49511,0.84841,0.6206,1.00208,2.56935,1.00933,0.00127946,0.00127946,0.00127946
47,58.1994,0.89756,1.12079,0.94769,1,0.49511,0.84841,0.6206,1.00208,2.56935,1.00933,0.0012953,0.0012953,0.0012953
48,59.3893,0.94549,1.19892,0.98556,0.84171,0.89198,0.87643,0.60422,1.1154,2.40655,1.04374,0.00131062,0.00131062,0.00131062
49,60.6148,1.17026,1.20104,1.0827,0.84171,0.89198,0.87643,0.60422,1.1154,2.40655,1.04374,0.00132541,0.00132541,0.00132541
50,61.8246,0.93822,1.07198,0.91131,0.73992,0.95296,0.83,0.4835,1.1632,2.35071,1.09798,0.00133967,0.00133967,0.00133967
51,63.0318,0.98855,1.09177,1.0228,0.73992,0.95296,0.83,0.4835,1.1632,2.35071,1.09798,0.00134,0.00134,0.00134
52,64.2417,0.99587,1.13965,0.95988,0.80465,0.83333,0.81144,0.64276,0.92257,2.42846,1.00584,0.0013268,0.0013268,0.0013268
