epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,257.58,1.63868,1.12453,1.65004,0.69716,0.62755,0.64672,0.24094,2.22459,1.38053,2.13609,0.000665521,0.000665521,0.000665521
2,498,1.64241,1.12339,1.64009,0.68406,0.64306,0.65417,0.24655,2.22966,1.37844,2.1232,0.00106841,0.00106841,0.00106841
3,737.871,1.64898,1.14857,1.66067,0.67084,0.61979,0.64028,0.23359,2.22926,1.41903,2.16318,0.00120731,0.00120731,0.00120731
4,970.679,1.63481,1.11654,1.64795,0.71109,0.61009,0.64007,0.23644,2.24651,1.39125,2.20107,0.000812,0.000812,0.000812
5,1212.81,1.58914,1.05906,1.59973,0.73603,0.64306,0.66895,0.24674,2.23072,1.33617,2.15845,0.000416,0.000416,0.000416
