epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.82313,1.64321,4.04202,1.54312,0.002,0.5,0.16631,0.05019,1.02845,4.58133,1.39383,2e-05,2e-05,2e-05
2,5.13047,1.5668,4.32463,1.36935,0.002,0.5,0.16704,0.06729,1.08222,4.29859,1.262,5.97624e-05,5.97624e-05,5.97624e-05
3,6.37085,1.62986,4.05533,1.29139,0.00267,0.66667,0.16843,0.10179,0.96543,4.10939,1.08519,9.9208e-05,9.9208e-05,9.9208e-05
4,7.61709,1.72331,4.06457,1.37628,0.00333,0.83333,0.33854,0.2204,0.86187,3.8691,0.96993,0.000138337,0.000138337,0.000138337
5,8.8899,1.55859,3.42449,1.26174,0.00333,0.83333,0.49836,0.29585,0.65704,3.73101,0.89432,0.000177149,0.000177149,0.000177149
6,10.1526,1.38707,2.98864,1.13636,0.00333,0.83333,0.66669,0.45295,0.72258,3.61114,0.88998,0.000215644,0.000215644,0.000215644
7,11.3977,1.31909,2.35523,1.06606,0.00333,0.83333,0.63258,0.42433,0.73971,3.56569,0.87254,0.000253822,0.000253822,0.000253822
8,12.6336,1.26936,2.80159,1.15275,0.00267,0.66667,0.59945,0.46119,0.8134,3.54603,0.87557,0.000291684,0.000291684,0.000291684
9,13.8935,1.25345,2.47233,1.11586,0.00267,0.66667,0.52628,0.399,0.91171,3.55914,0.88865,0.000329229,0.000329229,0.000329229
10,15.2224,1.32356,2.05817,1.14161,0.00267,0.66667,0.55259,0.44091,0.90943,3.56784,0.88764,0.000366457,0.000366457,0.000366457
11,16.4592,1.14762,1.87874,1.07402,0.00267,0.66667,0.571,0.43401,0.94015,3.63202,0.89562,0.000403368,0.000403368,0.000403368
12,17.6644,1.26121,1.99755,1.026,0.004,1,0.53299,0.38905,0.98284,3.64734,0.91675,0.000439962,0.000439962,0.000439962
