epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,252.328,1.63139,1.16318,1.62903,0.71707,0.63178,0.65925,0.26015,2.16127,1.37534,2.06726,0.00332761,0.00332761,0.00332761
2,493.515,1.63406,1.14805,1.6225,0.7316,0.61397,0.66654,0.25622,2.15347,1.39194,2.07289,0.00662215,0.00662215,0.00662215
3,742.363,1.68459,1.20206,1.66012,0.68615,0.63827,0.65872,0.24879,2.20253,1.40255,2.11089,0.00987787,0.00987787,0.00987787
4,979.682,1.7403,1.27738,1.69753,0.72821,0.58293,0.64137,0.23923,2.14291,1.48786,2.06482,0.00982529,0.00982529,0.00982529
5,1227.07,1.73857,1.29598,1.70016,0.70029,0.59942,0.64344,0.24471,2.13275,1.48779,2.04883,0.00976706,0.00976706,0.00976706
6,1464.64,1.75382,1.28828,1.70543,0.67858,0.55189,0.59031,0.22574,2.19518,1.5233,2.09756,0.00970882,0.00970882,0.00970882
7,1717.94,1.74924,1.2913,1.70386,0.69752,0.61508,0.65384,0.24515,2.13637,1.43247,2.01057,0.00965059,0.00965059,0.00965059
8,1956.3,1.74165,1.27408,1.7074,0.6801,0.61037,0.65323,0.25551,2.14129,1.43893,2.05963,0.00959235,0.00959235,0.00959235
9,2203.64,1.74262,1.27672,1.69946,0.66268,0.60595,0.62496,0.23444,2.14068,1.45015,2.04588,0.00953412,0.00953412,0.00953412
10,2442.24,1.73904,1.27109,1.70192,0.67179,0.56977,0.60339,0.23661,2.10927,1.5331,2.04172,0.00947588,0.00947588,0.00947588
11,2702.97,1.73691,1.24985,1.70241,0.6925,0.57129,0.62792,0.24665,2.14642,1.47668,2.07156,0.00941765,0.00941765,0.00941765
12,2937.73,1.72287,1.25108,1.68705,0.7107,0.62658,0.65267,0.25183,2.16835,1.41027,2.11222,0.00935941,0.00935941,0.00935941
13,3187.81,1.72193,1.24486,1.69235,0.6905,0.62173,0.66043,0.25312,2.16393,1.4287,2.05973,0.00930118,0.00930118,0.00930118
14,3428.75,1.71824,1.236,1.68337,0.72519,0.6033,0.64211,0.25009,2.1548,1.42803,2.06053,0.00924294,0.00924294,0.00924294
15,3682.07,1.72293,1.23675,1.6875,0.70114,0.61009,0.65901,0.25279,2.1628,1.41616,2.03348,0.00918471,0.00918471,0.00918471
16,3923.59,1.73036,1.22821,1.68363,0.67424,0.63531,0.66017,0.25192,2.14508,1.37621,2.00186,0.00912647,0.00912647,0.00912647
17,4175.37,1.70884,1.22285,1.66454,0.68129,0.62755,0.64583,0.24939,2.15812,1.41058,2.03151,0.00906824,0.00906824,0.00906824
18,4413.83,1.70141,1.21273,1.67027,0.72422,0.60524,0.66064,0.25138,2.13002,1.42591,2.04432,0.00901,0.00901,0.00901
19,4662.37,1.70175,1.20629,1.66226,0.69773,0.65276,0.67465,0.26202,2.1582,1.35274,2.04662,0.00895176,0.00895176,0.00895176
20,4900.19,1.69077,1.18923,1.65849,0.64542,0.64442,0.64694,0.24412,2.20113,1.37832,2.09203,0.00889353,0.00889353,0.00889353
21,5154.86,1.69936,1.185,1.65114,0.7191,0.60912,0.65556,0.24877,2.17737,1.3805,2.0559,0.00883529,0.00883529,0.00883529
